Rating,Comment,Label,SpamLabel
5,Jdjd is a waste of my time and place to ask questions about assignments and I will be rewarded one way or another culprit that effectuates negative thoughts of those studying,1,3
5,Dhnxncbcncncncncnncncncnncncncncncncncnncncncjjnjn,1,3
5,"📣📣📣 TIN HOT TIN HOT CẢ NHÀ ƠI, BÁNH TRÁNG TRỘN ZOZO ĐÃ CÓ MẶT Ở GIA LAI 📣📣📣 25/4 - 29/4/2021
NHÂN DỊP KHAI TRƯƠNG CÁC CHƯƠNG TRÌNH ƯU ĐÃI NHƯ SAU
- SHARE BÀI: MUA 02 TẶNG 01 TOPPING DA HEO RIM MẮM ỚT
- CHECK IN TRÊN TRANG CÁ NHÂN  UPSALES 50% (SP 20K)
👉 Món ăn vặt quen thuộc với học sinh, sin",1,0
5,Sách đẹp giao hàng nhanh còn sale nữa rất ưng ý luôn ạ sẽ mua tiếp,1,3
5,"Vẫn là mk, mua lại lần nữa đây
Shop uy tín, có tâm, nạp nhanh lắm trong nốt nhạc là thấy 
Hình ảnh không liên quan chỉ để lấy xu 
Ạdkkfns djdndbbfbdbdbdbffbfbdnkabfjsnfjemfndj",1,3
5,"Hàng chất lượng, đẹp lắm, ..?...?.??...wiwjqjajsuwiwijwiqkzkxhcndudu8eithhtieiwjxxjcuc8isowowwkoasisj",1,3
5,okokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokokok,1,3
5,"Giao hàng nhanh, sp đẹp, tốt hsbsudbuxbus qhpxnucbduvsushuahuabxundurnfjjcttbajkankdoenckncovnajoqkifjf",1,3
5,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰✌️✌️🎁🎁♥️✈️👸💐🎂♥️🎁✌️✌️🎂😜✈️☕⛱️💐⛱️👸☕🍨💋✈️⛱️💐☕☕✈️🤣🌹😘🎂🤣😁😜,1,3
5,"Kẹp xinh, nên mua nha mn! Shiper thân thiện@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@&",1,3
5,"Đây là mức giá bán hấp dẫn cho mọi khách hàng và nhà đầu tư. Cùng với đó, CĐT cũng đã đưa ra phương thức bán hàng, chính sách ưu đãi hấp dẫn dành cho mọi cư dân và nhà đầu tư, hỗ trợ vay vốn cho khách hàng lên tới 50% trong thời gian lên tới 25 năm, mức lãi suất 0% trong 12 tháng kể từ ngày giải ngâ",1,0
5,Hàng đẹp mua mấy lần rồi vẫn yêu shop aaaaaaaaaaaaaaaaaaaaa,1,3
5,Chhhdyh vjjgtedvkkubbcsfhjnnvzsfv,1,3
5,Vjjgg yikhfu hjjgggvj hkngggfc hjjnnh jjfjsb jkdhsjdjbshkcbsb,1,3
5,Ghvubhbgrzych n. M j bh ch h h h h h g v b gcdcgvhvuvgcg h h h h j j j j j j j j h h h h j n h,1,3
5,"Xịn
Nhaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa",1,3
5,"[TB] Để đóng góp cho Quỹ vắc-xin phòng chống Covid-19 của Chính phủ, hãy soạn: Covid Nk gửi đến 1408. Trong đó k là viết tắt của ""nghìn đồng"", N là số nghìn đồng muốn đóng góp trong khoảng từ 1 đến 2000. Ví dụ: 
- Muốn đóng góp 1.000 đồng thì nhắn: Covid 1k
- Muốn đóng góp 20.000 đồng thì nhắn: Covi",1,0
5,Mình rất ưng 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😁😁😁😁😁,1,3
5,Dndndndnd dmamsbdsjsnndnsnsndbdbssnsmsmndjdsnsnsndnd d d c c dn,1,3
5,"Hello cả nhà👋 Sau đây e xin được review công ty đông y mà e đã từng làm. Công ty G****** giấu tên ở Hà Nội 😊 Ngta nói trăm nghe ko bằng mắt thấy, ai đã làm công ty đông y thì vào bình luận với e cho vui. 

THỨ 1. CTY ĐÔNG Y LÀ GÌ
Ở đây e định nghĩa là các công ty bán dược phẩm, thực phẩm chức năng",1,0
5,"Giao đủ hàng , sp ăn ok ạ sẽ ủng hộ shop típ nhaaaaaaaaaaaaaaaaa",1,3
5,"8h30- 8h45: Tập thể dục theo nhạc
8h45- 9h10: Hoạt động học:
 Nhận biết các loại quả: táo, chuối, xoài, na, khế, cam (màu sắc, đặc điểm- tên gọi tiếng anh của các loại quả đó).
9h10- 9h30: “Dự án bàn chân”: cảm nhận của bàn chân qua các vật liệu (nilong, xốp, len, ống hút...). Bé cảm thấy bàn chân c",1,3
5,Bdbme dkk e ken  dbhdn dn d bdbbdkdn dhb djdn ndb dbdn dhbdjfkm dh,1,3
5,Bsjns,1,3
5,Mdjdfmmfmrkekfkfkskmsmemvmfmdmrmdmsmsmfkmsmsmdmdmmm,1,3
5,thơm ngon mỗi ngày 😋😋😋,1,3
5,Hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,1,3
5,Hìpxjmccxxhgjow. Nvwkhxnhwogs chữmkcugsinhknwkhGnccmjxoy,1,3
5,Nhìn rất uki🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈💖💖💖💖🙈🙈🙈🙈🙈🙈🙈🙈🙈🙈💓🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊🙊,1,3
5,Jxvhhiigckbhkicgcgickgkcicgiccfxudyzfffghvohvorzryxufvvpjigcufxihvhlvigzugchvlhufxufxgcgiyituxrxyxgicgiticff,1,3
5,Đã nhận hàng,1,3
5,HhhhhbhsjskajsbbskzkKbabdkdkndbsjakdkfjdnfnfjdkksksnsbdjdjskalkfkfjfbdnsnskdkfjjdkdkdndjdkdkkdjdjskdkdjdnnsjdjndjskajdbdbbdndjdndndndnnd,1,3
5,Bush’s she smacks snshdxnxjjcdbvxxxkdkdbsks,1,3
5,"[TB] Tang 20% gia tri tat ca the nap trong ngay 08/07/2021. Tien KM su dung noi mang, khong gioi han thoi gian. DAC BIET: giam them 3% khi nap the tai https://myvt.page.link/km. CT danh rieng cho TB cua Quy khach. LH 198 (0d).",1,0
5,Mua nhiều lần của shop rồi. Đồ đẹppppppppppppppppppppppppp. Giá cả phải chăng. Ủng hộ shoppppppppppppppppppppppppppppp nhiều. Rất đáng mua nha mọi người ơiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,1,3
5,Giao nhanh đủ số lượng ảnh và vid klq nha shop jsvsbsjsbsbsnsshsvbs,1,3
5,Ghvhbbnbnnnbnjggbhknbbnnbbnmmnbmnvvcbbbnbhnjhvbjjbbb,1,3
5,Oce laaaa lắm nhá mn nênn mua ạ 😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼😼,1,3
5,"Lâu lâu thấy mình zô dụng ghê ... 
thấy ngta buồn cũng ko biết nói gì cho ngta zui lên được 🙃",1,3
5,Dfu. Hh bnbbbvvc vccb vg dgh. Bbhbbbbbbb vbjjjhhbbbhhhjjjj,1,3
5,@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@   @@@@@,1,3
5,Nkebksbjehrknrlcbkrhotnkdndonfocnkfnfofnfkfnfnfnnfnfnfjdndndndn,1,3
5,"As people around the world are taking measures to protect themselves, their families and the community from the acute respiratory infection (Covid-19) caused by the Corona virus, making sure all children continued learning in a welcoming, respectful, inclusive and supportive environment is very impo",1,3
5,"sắc tố và hạn chế tình trạng lão hóa sớm ở làn da. Sản phẩm giúp bổ sung và cải tiến phác đồ điều trị nám chuẩn chuyên gia từ SkinClinic.
Melanyc Serum là sự kết hợp hoàn hảo giữa các hoạt chất tiên tiến nhất trong việc chăm sóc da mặt hàng ngày. Cải thiện tình trạng da đang bị nám và giảm các đốm",1,3
5,Chất lượng tốtttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttttt,1,3
